Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2020-08-12,BTCUSDT,11392.08,11420,11150,11326.95,18052.67,204183419.72
2020-08-11,BTCUSDT,11892.92,11935,11125,11392.08,90748.28,1049615697.14
2020-08-10,BTCUSDT,11681.68,12067.35,11450,11892.92,84952.34,1009169063.38
2020-08-09,BTCUSDT,11761.41,11797.11,11521.97,11681.68,41493.07,483708602.9
2020-08-08,BTCUSDT,11594.23,11808.27,11512,11761.41,41858.16,489087264.36
2020-08-07,BTCUSDT,11762.46,11909.94,11322,11594.23,65755.93,767005529.28
2020-08-06,BTCUSDT,11744.91,11900,11562.5,11762.46,63529.09,746479211.72
2020-08-05,BTCUSDT,11191.97,11780.93,11093,11744.91,74970.26,861433645.42
2020-08-04,BTCUSDT,11219.81,11414.98,11000,11191.97,58629.11,658084242.68
2020-08-03,BTCUSDT,11071.35,11473,10936,11219.81,56931.84,641127593.26
2020-08-02,BTCUSDT,11801.17,12123.46,10518.5,11071.35,97553.08,1105757335.53
2020-08-01,BTCUSDT,11335.46,11861,11220,11801.17,85087.49,987817017.32
2020-07-31,BTCUSDT,11099.61,11444,10960,11335.46,70063.66,786344325.86
2020-07-30,BTCUSDT,11100.53,11170,10831,11099.61,60794.83,669779541.89
2020-07-29,BTCUSDT,10906.27,11342.82,10812,11100.53,76838.09,853242253.62
2020-07-28,BTCUSDT,11029.96,11242.23,10565,10906.27,97267.73,1065375500.19
2020-07-27,BTCUSDT,9931.54,11394.86,9917.21,11029.96,150188.93,1580355372.1
2020-07-26,BTCUSDT,9700.42,10111,9650,9931.54,65279.27,644607634.48
2020-07-25,BTCUSDT,9537.8,9732.9,9513,9700.42,40679.55,391431695.72
2020-07-24,BTCUSDT,9603.27,9637,9463.44,9537.8,43931.14,419240263.52
2020-07-23,BTCUSDT,9518.16,9664,9440.33,9603.27,51856.23,494282948.73
2020-07-22,BTCUSDT,9390,9544,9261,9518.16,48815.0,457776105.62
2020-07-21,BTCUSDT,9160.78,9437.73,9152.8,9390,60413.58,563360524.8
2020-07-20,BTCUSDT,9208.99,9221.52,9131,9160.78,35458.76,325297289.27
2020-07-19,BTCUSDT,9170.28,9232.27,9101.35,9208.99,26052.02,238521988.03
2020-07-18,BTCUSDT,9154.32,9219.3,9121.1,9170.28,22554.54,206628105.36
2020-07-17,BTCUSDT,9133.72,9186.83,9089.81,9154.32,28054.36,256360345.58
2020-07-16,BTCUSDT,9197.6,9226.15,9047.25,9133.72,43375.57,395883667.03
2020-07-15,BTCUSDT,9255.85,9276.49,9160.57,9197.6,39053.58,360201683.5
2020-07-14,BTCUSDT,9242.62,9279.54,9113,9255.85,45772.55,421789086.45
2020-07-13,BTCUSDT,9302.75,9343.82,9200.89,9242.62,42740.07,396614086.8
2020-07-12,BTCUSDT,9234.03,9345,9157.5,9302.75,30872.7,285591381.49
2020-07-11,BTCUSDT,9288.34,9299.28,9178.25,9234.03,22561.37,208410250.51
2020-07-10,BTCUSDT,9232.43,9317.48,9125,9288.34,38295.49,352238898.77
2020-07-09,BTCUSDT,9436.06,9440.79,9160,9232.43,48044.45,447640493.54
2020-07-08,BTCUSDT,9257.39,9470,9231,9436.06,56140.52,525344876.7
2020-07-07,BTCUSDT,9344.2,9379.42,9203,9257.39,34587.34,320576525.36
2020-07-06,BTCUSDT,9069.41,9375,9055.92,9344.2,54463.13,502548376.21
2020-07-05,BTCUSDT,9135.46,9145.24,8893.03,9069.41,34073.65,308410443.66
2020-07-04,BTCUSDT,9058.26,9190,9040.04,9135.46,26441.97,240576054.92
2020-07-03,BTCUSDT,9086.54,9125,9037.47,9058.26,28943.42,263123750.47
2020-07-02,BTCUSDT,9232,9261.96,8940,9086.54,45725.17,417724468.89
2020-07-01,BTCUSDT,9138.55,9292,9080.1,9232,38488.53,354087627.17
2020-06-30,BTCUSDT,9192.56,9205,9064.89,9138.55,31463.16,287781334.52
2020-06-29,BTCUSDT,9116.35,9238,9024.67,9192.56,42120.29,384206326.47
2020-06-28,BTCUSDT,9012,9191,8948.06,9116.35,30688.18,278721674.92
2020-06-27,BTCUSDT,9162.21,9196.24,8833,9012,46290.93,419606802.24
2020-06-26,BTCUSDT,9249.49,9298,9045.45,9162.21,50292.3,461347064.83
2020-06-25,BTCUSDT,9296.49,9340,9009.69,9249.49,55831.62,514396747.4
2020-06-24,BTCUSDT,9624.89,9670,9208,9296.49,61571.56,579426702.8
2020-06-23,BTCUSDT,9685.69,9720,9577.03,9624.89,41031.03,395487616.46
2020-06-22,BTCUSDT,9294.69,9780,9277.09,9685.69,57895.47,550995799.07
2020-06-21,BTCUSDT,9358.95,9422,9281.54,9294.69,24316.93,227467940.61
