Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2020-08-12,ETHUSDT,379,380.53,365.85,372.31,220964.7,82754470.08
2020-08-11,ETHUSDT,395.44,398.21,367,379,992412.6,381981614.62
2020-08-10,ETHUSDT,390.14,399.18,385.13,395.44,826969.91,326372434.9
2020-08-09,ETHUSDT,397.03,400,383.36,390.14,594900.58,233057462.93
2020-08-08,ETHUSDT,379.34,397.05,375.79,397.03,623029.78,240999198.02
2020-08-07,ETHUSDT,394.77,398.26,362.85,379.34,1041207.36,398625567.06
2020-08-06,ETHUSDT,400.72,403.66,390.51,394.77,821379.08,325718417.72
2020-08-05,ETHUSDT,389.61,407,384.11,400.72,1124119.07,444335097.15
2020-08-04,ETHUSDT,385.94,402.98,380.77,389.61,1180792.42,461794422.2
2020-08-03,ETHUSDT,372.42,398,366.5,385.94,1191565.09,462170587.48
2020-08-02,ETHUSDT,387,415.85,325,372.42,2324909.1,878397036.3
2020-08-01,ETHUSDT,346.33,392.67,343.07,387,1440843.34,527543444.86
2020-07-31,ETHUSDT,334.87,349.45,328.4,346.33,948088.45,323282981.02
2020-07-30,ETHUSDT,317.71,342,314.05,334.87,1008827.57,328286452.52
2020-07-29,ETHUSDT,316.77,325,312.38,317.71,792802.32,254201662.13
2020-07-28,ETHUSDT,321.93,326.8,305.86,316.77,1093231.56,346187853.28
2020-07-27,ETHUSDT,311,333.31,310.78,321.93,1636122.35,527292799.29
2020-07-26,ETHUSDT,305.26,318.75,299,311,1270368.75,392346895.32
2020-07-25,ETHUSDT,279.15,308.94,279.09,305.26,1058927.31,308799629.36
2020-07-24,ETHUSDT,275.3,287.34,266,279.15,926033.07,256347245.55
2020-07-23,ETHUSDT,263.74,279.98,259.7,275.3,1068774.58,287217202.72
2020-07-22,ETHUSDT,245.59,269.61,241.51,263.74,718417.68,180692677.21
2020-07-21,ETHUSDT,236.01,246.66,235.57,245.59,637462.08,154502240.94
2020-07-20,ETHUSDT,239.11,239.72,234.05,236.01,396657.92,94314378.94
2020-07-19,ETHUSDT,235.67,239.92,233.28,239.11,348803.52,82120072.99
2020-07-18,ETHUSDT,232.67,236.8,232.32,235.67,341356.62,80046747.83
2020-07-17,ETHUSDT,233.57,234.84,231.65,232.67,325600.21,75931058.42
2020-07-16,ETHUSDT,238.61,239.39,230.02,233.57,587161.74,137208323.2
2020-07-15,ETHUSDT,240.44,241.45,236.83,238.61,368350.67,88059682.48
2020-07-14,ETHUSDT,239.5,242.09,237,240.44,426320.89,102105027.13
2020-07-13,ETHUSDT,242.79,245.33,237.33,239.5,604093.04,146193291.91
2020-07-12,ETHUSDT,239.19,244,236.52,242.79,469315.12,112487552.43
2020-07-11,ETHUSDT,241.26,241.67,237.54,239.19,294476.01,70548557.68
2020-07-10,ETHUSDT,241.98,242.16,235.72,241.26,455025.12,108806462.47
2020-07-09,ETHUSDT,246.95,247.9,237.88,241.98,647641.58,157541370.0
2020-07-08,ETHUSDT,239.39,248.88,237.78,246.95,958185.84,233460700.76
2020-07-07,ETHUSDT,241.6,243.77,234.4,239.39,600424.97,143122828.38
2020-07-06,ETHUSDT,227.56,242,226.93,241.6,864817.51,203334727.85
2020-07-05,ETHUSDT,229.17,229.85,223.05,227.56,355747.12,80528660.62
2020-07-04,ETHUSDT,224.87,230.71,224.43,229.17,307726.47,69899468.28
2020-07-03,ETHUSDT,226.46,228.13,223.97,224.87,314578.5,71286978.5
2020-07-02,ETHUSDT,230.99,232.01,222.87,226.46,592485.91,134976975.12
2020-07-01,ETHUSDT,225.6,232.71,224.16,230.99,517351.59,118322932.85
2020-06-30,ETHUSDT,227.93,228.7,222.91,225.6,415036.03,93802207.27
2020-06-29,ETHUSDT,224.93,229.96,221.26,227.93,597915.52,134510531.2
2020-06-28,ETHUSDT,220.94,227.96,218.32,224.93,444766.57,99423540.14
2020-06-27,ETHUSDT,229.64,231.42,216,220.94,645950.61,145264632.26
2020-06-26,ETHUSDT,232.5,233.61,227.75,229.64,628340.07,144805505.19
2020-06-25,ETHUSDT,234.58,235.39,227.56,232.5,613748.59,142697463.38
2020-06-24,ETHUSDT,243.14,249.24,231.07,234.58,921634.05,220763040.43
2020-06-23,ETHUSDT,243.13,244.87,240.75,243.14,442296.31,107457002.52
2020-06-22,ETHUSDT,228.04,246.89,227.51,243.13,749030.11,178707156.19
2020-06-21,ETHUSDT,228.89,231.49,227.11,228.04,256305.24,58868166.51
2020-06-20,ETHUSDT,229,230.85,225.62,228.89,303704.99,69343699.91
2020-06-19,ETHUSDT,231.27,231.95,226.74,229,397284.6,91117706.16
2020-06-18,ETHUSDT,233.82,234.65,227.93,231.27,334347.8,77542070.33
2020-06-17,ETHUSDT,235.3,237.3,227.65,233.82,478187.29,111415059.06
2020-06-16,ETHUSDT,230.86,236,228.7,235.3,499194.67,116456364.23
2020-06-15,ETHUSDT,231.77,233.55,218.27,230.86,875026.92,197907504.78
2020-06-14,ETHUSDT,238.11,238.59,229.83,231.77,304943.21,71575514.08
2020-06-13,ETHUSDT,237.55,238.73,234.66,238.11,253797.78,60087772.65
2020-06-12,ETHUSDT,230.51,239.38,228.19,237.55,446515.34,105069425.09
2020-06-11,ETHUSDT,247.78,250.09,226.2,230.51,816456.89,195063781.28
2020-06-10,ETHUSDT,243.8,250.28,242,247.78,431285.62,105797248.25
2020-06-09,ETHUSDT,246.4,249.82,238,243.8,420327.17,102374504.57
2020-06-08,ETHUSDT,244.56,247.7,240.59,246.4,383116.55,93355224.97
2020-06-07,ETHUSDT,241.94,245.37,234.6,244.56,571102.56,137165732.65
2020-06-06,ETHUSDT,240.03,244.7,237.83,241.94,389423.08,93979350.81
2020-06-05,ETHUSDT,243.21,247.87,239.14,240.03,502547.41,122084004.52
2020-06-04,ETHUSDT,244.52,246.6,236,243.21,669369.34,162460397.63
2020-06-03,ETHUSDT,237.71,245,232.71,244.52,502928.13,120179301.18
2020-06-02,ETHUSDT,248.23,253.8,225,237.71,955520.92,230680327.31
2020-06-01,ETHUSDT,231.57,250.68,230.66,248.23,823816.7,198791911.85
2020-05-31,ETHUSDT,243.66,245.39,229.58,231.57,821608.69,194867426.29
2020-05-30,ETHUSDT,220.67,247,218.8,243.66,1019550.75,238678839.81
2020-05-29,ETHUSDT,220.21,224.79,217.57,220.67,603058.08,133220045.5
2020-05-28,ETHUSDT,208.29,220.5,204.67,220.21,643945.98,136361627.35
2020-05-27,ETHUSDT,200.89,208.44,200.76,208.29,494816.73,101445351.03
2020-05-26,ETHUSDT,204.15,205,196.9,200.89,477176.74,96116808.86
2020-05-25,ETHUSDT,199.9,205.67,198.01,204.15,469931.62,95411610.8
2020-05-24,ETHUSDT,206.6,210.55,199.5,199.9,673535.06,138917619.23
2020-05-23,ETHUSDT,207.36,211.2,204.55,206.6,478559.92,99461068.1
2020-05-22,ETHUSDT,198.74,209.19,196.24,207.36,787672.36,159972608.53
2020-05-21,ETHUSDT,209.98,211.64,191.71,198.74,1003923.43,203445710.96
2020-05-20,ETHUSDT,214.58,215.75,204.27,209.98,679532.61,143704806.18
2020-05-19,ETHUSDT,214.91,215.95,209.45,214.58,643702.99,136846948.56
2020-05-18,ETHUSDT,207,217.07,207,214.91,1064139.25,226789027.15
2020-05-17,ETHUSDT,200.45,209.85,199.68,207,708711.89,145341278.68
2020-05-16,ETHUSDT,194.86,203.5,193.21,200.45,669900.04,134060788.49
2020-05-15,ETHUSDT,203.29,204.08,191.66,194.86,904749.64,179634085.62
2020-05-14,ETHUSDT,199.58,206.02,195.67,203.29,1114700.25,224233786.13
2020-05-13,ETHUSDT,189.76,201,188.35,199.58,806143.01,156637596.37
2020-05-12,ETHUSDT,185.73,192.24,185.48,189.76,669755.8,126810812.17
2020-05-11,ETHUSDT,187.54,193.5,176,185.73,1093299.82,203391530.21
2020-05-10,ETHUSDT,210.07,210.18,179.59,187.54,1473226.05,278394290.76
2020-05-09,ETHUSDT,211.31,214.6,208.4,210.07,587871.98,124626471.43
2020-05-08,ETHUSDT,212,216.61,206.9,211.31,917908.19,194579529.43
2020-05-07,ETHUSDT,198.97,215.1,196.43,212,1305778.74,271197927.67
2020-05-06,ETHUSDT,205.29,210.77,197.71,198.97,862700.68,178157452.6
2020-05-05,ETHUSDT,206.48,211.68,201,205.29,640644.66,131906204.91
2020-05-04,ETHUSDT,209.86,210.65,194.88,206.48,1114249.33,225451167.66
2020-05-03,ETHUSDT,213.9,219.3,203.92,209.86,748383.91,158874887.08
2020-05-02,ETHUSDT,212.02,215.37,210.36,213.9,443494.67,94389501.52
2020-05-01,ETHUSDT,206.08,217.14,205.91,212.02,794913.96,168339123.36
2020-04-30,ETHUSDT,215.36,227.3,202,206.08,1749691.0,374893029.77
2020-04-29,ETHUSDT,196.24,218.77,196.22,215.36,1620422.72,338324593.64
2020-04-28,ETHUSDT,196.34,198.5,192.36,196.24,636829.89,124476041.89
2020-04-27,ETHUSDT,197.38,199.05,189.29,196.34,896627.37,174775637.93
2020-04-26,ETHUSDT,194.21,200,192.3,197.38,758525.82,148433709.78
2020-04-25,ETHUSDT,187.59,198.36,185.76,194.21,866478.05,167703202.43
2020-04-24,ETHUSDT,185.51,189.8,184.72,187.59,780904.21,146419748.08
2020-04-23,ETHUSDT,182.7,193.63,178.16,185.51,1457867.09,270862911.37
2020-04-22,ETHUSDT,170.74,184,169.78,182.7,988698.39,176079076.93
2020-04-21,ETHUSDT,170.2,174.7,168,170.74,906381.65,155292048.44
2020-04-20,ETHUSDT,180.03,186.46,166.7,170.2,1547821.53,273854539.8
2020-04-19,ETHUSDT,187.4,188.35,175.75,180.03,995759.58,181415813.5
2020-04-18,ETHUSDT,170.69,189.54,170.48,187.4,1127296.37,203132211.96
2020-04-17,ETHUSDT,172.29,174.96,168.31,170.69,723537.76,123553456.32
2020-04-16,ETHUSDT,152.73,174.79,148.33,172.29,1647207.6,273639160.07
2020-04-15,ETHUSDT,158.45,161.29,152,152.73,729119.67,114640840.12
2020-04-14,ETHUSDT,156.29,161.85,155.23,158.45,698030.65,110710086.1
2020-04-13,ETHUSDT,158.59,158.97,150,156.29,1042091.04,160423270.3
2020-04-12,ETHUSDT,158.33,164.78,155,158.59,809100.25,129919934.44
2020-04-11,ETHUSDT,157.81,161.37,153.91,158.33,621599.61,98275533.06
2020-04-10,ETHUSDT,169.52,170.1,152.11,157.81,1314841.36,209535613.32
2020-04-09,ETHUSDT,173.11,173.38,165.19,169.52,719837.24,122531131.96
2020-04-08,ETHUSDT,164.63,174.48,163.59,173.11,1023575.92,173916484.79
2020-04-07,ETHUSDT,171.32,176.22,162.22,164.63,1717962.83,292710722.58
2020-04-06,ETHUSDT,142.68,172,142.6,171.32,1636338.73,257097597.78
2020-04-05,ETHUSDT,144.1,145.58,140.68,142.68,414987.45,59383946.13
2020-04-04,ETHUSDT,141.31,146.28,138.88,144.1,553347.21,78771621.25
2020-04-03,ETHUSDT,141.28,146.72,137.26,141.31,797546.11,113731706.72
2020-04-02,ETHUSDT,135.69,149.76,135.01,141.28,1138977.66,159989506.6
2020-04-01,ETHUSDT,132.72,136.99,128.62,135.69,680922.25,90063924.23
2020-03-31,ETHUSDT,132.06,135,130.38,132.72,547669.28,72618183.48
2020-03-30,ETHUSDT,124.5,135.42,124.06,132.06,764831.93,100271145.86
2020-03-29,ETHUSDT,130.98,131.84,123.81,124.5,543997.0,69434202.21
2020-03-28,ETHUSDT,131.33,132.97,124.88,130.98,896032.11,115166651.97
2020-03-27,ETHUSDT,138.4,141.27,129.68,131.33,706948.55,96581886.88
2020-03-26,ETHUSDT,136.1,139.74,133.26,138.4,751060.63,101918769.67
2020-03-25,ETHUSDT,138.42,142.33,132.54,136.1,1034248.74,141795323.03
2020-03-24,ETHUSDT,135.92,143.36,132.2,138.42,1244377.16,171156363.69
